[00:00:00] TEACHER    I don't know what to do.
[00:00:01] STUDENT_1  Which brush should I take?
[00:00:02] TEACHER    You can use the normal palette.
[00:00:03] STUDENT_1  I use the half easier to draw with.
[00:00:10] TEACHER    You can use the normal palette.
[00:00:16] TEACHER    You haven't met problems in all the books.
[00:00:20] STUDENT_1  What teacher?
[00:00:22] TEACHER    After school.
[00:00:24] TEACHER    She has been around.
[00:00:27] TEACHER    Friday you were there.
[00:00:29] STUDENT_1  Okay, then I haven't.
[00:00:32] TEACHER    He comes Friday, Saturday.
[00:00:34] STUDENT_1  Oh, I'm going to go.
[00:00:36] TEACHER    Okay.
[00:00:38] TEACHER    He's an art teacher.
[00:00:39] TEACHER    Hi kids.
[00:00:41] TEACHER    Good morning. Hello. How are you doing guys?
[00:00:43] STUDENT_1  You're doing good.
[00:00:46] TEACHER    Who's there?
[00:00:49] TEACHER    Hello. What's your name?
[00:00:50] STUDENT_2  I'm.
[00:00:51] TEACHER    I'm.
[00:00:51] STUDENT_2  Oh, that's great.
[00:00:57] TEACHER    Follow me. Come. Come and sit here. Come and sit here.
[00:01:13] TEACHER    Okay.
[00:01:23] TEACHER    Now, we first we'll know about the texture. What is texture? Do you know what is texture?
[00:01:27] STUDENT_1  No.
[00:01:27] TEACHER    Texture is, uh, wherever your skin is, if you touch your skin, how you're feeling?
[00:01:30] STUDENT_1  Smooth.
[00:01:30] TEACHER    Okay. Then you touch your hair. You feel different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. It is different. The woman is still explaining different textures to the children.
[00:01:31] STUDENT_1  Auntie, you know, I mean, you know, my best friend, Lexa, is coming.
[00:01:46] TEACHER    I think he's not in your class.
[00:01:49] TEACHER    So, today I have some papers.
[00:01:51] TEACHER    Okay.
[00:01:53] TEACHER    And then, this is a paper. (repeated 224 times — likely transcription loop artifact)
[00:05:00] TEACHER    You don't feel it. You don't feel it. This is what I'm asking you about the texture. Do you see something different?
[00:05:06] STUDENT_1  Yes.
[00:05:07] TEACHER    Yes. Now I'll show you the next one. This is the next one. This is the next one. This is the. So it is but it is quite nice. It is not like saying. Okay now.
[00:05:17] STUDENT_1  So.
[00:05:18] TEACHER    Yeah. So you try all this and let me know the texture name. Okay try all this.
[00:05:28] STUDENT_1  What is the different different texture?
[00:05:30] TEACHER    Oh, should have some here. Okay, how you all have this book which is soft, which is hard. this is. This is.
[00:05:40] STUDENT_1  Hi.
[00:05:41] TEACHER    Hi. How are you? What do you do?
[00:05:44] STUDENT_1  I'm not.
[00:05:45] TEACHER    No. You like us?
[00:05:47] STUDENT_1  You?
[00:05:47] TEACHER    Yes. You going to us?
[00:05:50] STUDENT_1  So.
[00:05:51] TEACHER    Oh. My not. See look at the I I leave you have to something which all the papers you have to say about the. Okay?
[00:06:00] STUDENT_1  Pick up first. Pick up anyone?
[00:06:03] TEACHER    Wait wait wait one time. You tell me about the? You tell me about the?
[00:06:08] STUDENT_1  You tell me about the?
[00:06:10] TEACHER    Okay. Next.
[00:10:00] TEACHER    Now, tell me which texture is this?
[00:10:05] STUDENT_1  This is smooth.
[00:10:06] TEACHER    Smooth. Yes. Now, tell me which texture is this?
[00:10:10] STUDENT_2  This is rough.
[00:10:11] TEACHER    Rough. Yes. Now, tell me which texture is this?
[00:10:15] STUDENT_3  This is soft.
[00:10:16] TEACHER    Soft. Yes. Now, tell me which texture is this?
[00:10:20] STUDENT_4  This is hard.
[00:10:21] TEACHER    Hard. Yes. Now, tell me which texture is this?
[00:10:25] STUDENT_1  This is smooth.
[00:10:26] TEACHER    Smooth. Yes. Now, tell me which texture is this?
[00:10:30] STUDENT_2  This is rough.
[00:10:31] TEACHER    Rough. Yes. Now, tell me which texture is this?
[00:10:35] STUDENT_3  This is soft.
[00:10:36] TEACHER    Soft. Yes. Now, tell me which texture is this?
[00:10:40] STUDENT_4  This is hard.
[00:10:41] TEACHER    Hard. Yes. Now, tell me which texture is this?
[00:10:45] STUDENT_1  This is smooth.
[00:10:46] TEACHER    Smooth. Yes. Now, tell me which texture is this?
[00:10:50] STUDENT_2  This is rough.
[00:10:51] TEACHER    Rough. Yes. Now, tell me which texture is this?
[00:10:55] STUDENT_3  This is soft.
[00:10:56] TEACHER    Soft. Yes. Now, tell me which texture is this?
[00:11:00] STUDENT_4  This is hard.
[00:11:01] TEACHER    Hard. Yes. Now, tell me which texture is this?
[00:11:05] STUDENT_1  This is smooth.
[00:11:06] TEACHER    Smooth. Yes. Now, tell me which texture is this?
[00:11:10] STUDENT_2  This is rough.
[00:11:11] TEACHER    Rough. Yes. Now, tell me which texture is this?
[00:11:15] STUDENT_3  This is soft.
[00:11:16] TEACHER    Soft. Yes. Now, tell me which texture is this?
[00:11:20] STUDENT_4  This is hard.
[00:11:21] TEACHER    Hard. Yes. Now, tell me which texture is this?
[00:11:25] STUDENT_1  This is smooth.
[00:11:26] TEACHER    Smooth. Yes. Now, tell me which texture is this?
[00:11:30] STUDENT_2  This is rough.
